DefaultIndex,OLTV_Band,DTI_Class,Employment,LoanPurpose,PaymentFreq,IR_Type,Occupancy,OrigChannel,Payment,Foreigner
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=90% & <95%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=100%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,>=95% & <100%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,SemiAnnually_Annually,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,>=40% & <50%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
