,Max Depth,Best Split Method,Tree Size,Training Score,Test Score,Running Time
0,1,gini,3,0.339298328231693,0.34895220155403817,0.186538
1,2,gini,7,0.339298328231693,0.34895220155403817,0.191728
2,3,gini,15,0.6318970253512283,0.6344478455380268,0.22252
3,4,entropy,31,0.5731104308923947,0.5738168118672003,0.23631
4,5,gini,61,0.5856683148889412,0.5841770661643513,0.255776
5,6,gini,113,0.5766423357664233,0.5753473039792795,0.282349
6,8,gini,321,0.5902990346126678,0.5812338121026607,0.294449
7,10,gini,677,0.6130601993564084,0.6012479397221568,0.302389
8,20,entropy,1477,0.6146299348559767,0.5871203202260419,0.338379
9,50,entropy,1467,0.6146299348559767,0.5873557805509771,0.291018
