,Max Depth,Best Split Method,Tree Size,Training Score,Test Score,Running Time
0,1,entropy,3,0.2675289312457454,0.2602040816326531,0.162194
1,2,entropy,7,0.2614023144996596,0.2510204081632653,0.184569
2,3,entropy,15,0.28012253233492174,0.25918367346938775,0.188989
3,4,entropy,31,0.3801906058543227,0.3653061224489796,0.199306
4,5,entropy,61,0.41286589516678013,0.3693877551020408,0.242488
5,6,gini,83,0.382573179033356,0.36887755102040815,0.331499
6,8,entropy,329,0.5071477195371,0.3795918367346939,0.38068
7,10,entropy,661,0.6429543907420013,0.4147959183673469,0.376983
8,20,gini,1753,0.9676650782845473,0.5530612244897959,0.507827
9,50,gini,1941,1.0,0.5698979591836735,0.502378
