,weight,k,Training Score,Test Score,Running Time
0,uniform,1,0.8120241739266933,0.7925594537320462,2.115579
1,uniform,2,0.859665646338592,0.8531904874028726,2.340563
2,uniform,3,0.8321952750961463,0.8164586767129739,2.313842
3,uniform,4,0.8690055725610235,0.8620202495879444,2.146337
4,uniform,5,0.868927085786045,0.8604897574758653,2.227849
5,uniform,6,0.8854877953064909,0.8812102660701672,2.174786
6,uniform,7,0.8852523349815556,0.8785024723334118,2.410725
7,uniform,8,0.8849383878816419,0.8833294089945845,2.530949
8,uniform,9,0.8847814143316851,0.8810925359076995,2.450825
9,uniform,10,0.8849383878816419,0.8834471391570521,2.330416
10,uniform,20,0.8848599011066636,0.8841535201318578,2.575253
11,uniform,50,0.8846244407817283,0.884388980456793,3.264288
12,uniform,100,0.8846244407817283,0.884388980456793,3.79399
13,distance,1,0.8120241739266933,0.7925594537320462,1.166566
14,distance,2,0.8639039321874264,0.8524841064280668,1.27622
15,distance,3,0.8364335609449808,0.817047327525312,1.217331
16,distance,4,0.8748135939094263,0.86025429715093,1.340133
17,distance,5,0.8742641864845774,0.8594301860136567,1.319197
18,distance,6,0.8921591711796563,0.880032964445491,1.489158
19,distance,7,0.8913743034298721,0.8783847421709442,1.493006
20,distance,8,0.8920806844046778,0.8802684247704262,1.399976
21,distance,9,0.8920806844046778,0.8802684247704262,1.417486
22,distance,10,0.8923946315045915,0.8808570755827643,1.38689
23,distance,20,0.8923946315045915,0.8807393454202966,1.672713
24,distance,50,0.8923946315045915,0.8807393454202966,2.490533
25,distance,100,0.8923946315045915,0.8807393454202966,3.108369
