,weight,k,Training Score,Test Score,Running Time
0,uniform,1,1.0,0.5469387755102041,0.33954
1,uniform,2,0.7733151803948264,0.4704081632653061,0.348072
2,uniform,3,0.7137508509189925,0.45051020408163267,0.393528
3,uniform,4,0.6620149761742682,0.45357142857142857,0.329121
4,uniform,5,0.641933287950987,0.4418367346938776,0.34986
5,uniform,6,0.6133424098025868,0.4433673469387755,0.352513
6,uniform,7,0.602791014295439,0.4377551020408163,0.333819
7,uniform,8,0.5922396187882913,0.4448979591836735,0.337779
8,uniform,9,0.5765827093260721,0.4474489795918367,0.336714
9,uniform,10,0.572498298162015,0.4586734693877551,0.454419
10,uniform,20,0.5258679373723621,0.4704081632653061,0.365273
11,uniform,50,0.4846834581347856,0.45510204081632655,0.422666
12,uniform,100,0.4758339006126617,0.4474489795918367,0.499702
13,distance,1,1.0,0.5469387755102041,0.106561
14,distance,2,1.0,0.5469387755102041,0.124979
15,distance,3,1.0,0.55,0.115027
16,distance,4,1.0,0.5545918367346939,0.114794
17,distance,5,1.0,0.551530612244898,0.158019
18,distance,6,1.0,0.5607142857142857,0.117268
19,distance,7,1.0,0.5535714285714286,0.131791
20,distance,8,1.0,0.5581632653061225,0.124857
21,distance,9,1.0,0.5571428571428572,0.12495
22,distance,10,1.0,0.5653061224489796,0.128627
23,distance,20,1.0,0.5923469387755103,0.171329
24,distance,50,1.0,0.5897959183673469,0.205607
25,distance,100,1.0,0.5867346938775511,0.316965
